gender,indicator,age_months,l_value,m_value,s_value
male,weight,1.97,0.197800,5.540700,0.124090
male,weight,2.00,0.196900,5.571400,0.123820
male,weight,2.04,0.196000,5.601800,0.123560
male,weight,2.07,0.195200,5.631900,0.123300
male,weight,2.10,0.194300,5.661700,0.123040
male,weight,2.14,0.193500,5.691200,0.122790
male,weight,2.17,0.192600,5.720500,0.122540
male,weight,2.20,0.191800,5.749400,0.122290
male,weight,2.23,0.191000,5.778100,0.122050
male,weight,2.27,0.190200,5.806500,0.121810
male,weight,2.30,0.189400,5.834600,0.121570
male,weight,2.33,0.188600,5.862500,0.121340
male,weight,2.37,0.187800,5.890100,0.121110
male,weight,2.40,0.187000,5.917400,0.120880
male,weight,2.43,0.186300,5.944500,0.120660
male,weight,2.46,0.185500,5.971300,0.120440
male,weight,2.50,0.184700,5.997900,0.120220
male,weight,2.53,0.184000,6.024200,0.120010
male,weight,2.56,0.183200,6.050300,0.119800
male,weight,2.60,0.182500,6.076200,0.119590
male,weight,2.63,0.181800,6.101800,0.119390
male,weight,2.66,0.181000,6.127200,0.119180
male,weight,2.69,0.180300,6.152300,0.118990
male,weight,2.73,0.179600,6.177200,0.118790
male,weight,2.76,0.178900,6.201900,0.118600
male,weight,2.79,0.178200,6.226400,0.118410
male,weight,2.83,0.177500,6.250700,0.118220
male,weight,2.86,0.176800,6.274800,0.118030
male,weight,2.89,0.176100,6.298600,0.117850
male,weight,2.92,0.175400,6.322300,0.117670
male,weight,2.96,0.174700,6.345700,0.117500
male,weight,2.99,0.174000,6.369000,0.117320
male,weight,3.02,0.173400,6.392100,0.117150
male,weight,3.06,0.172700,6.414900,0.116980
male,weight,3.09,0.172000,6.437600,0.116820
male,weight,3.12,0.171400,6.460100,0.116660
male,weight,3.15,0.170700,6.482400,0.116490
male,weight,3.19,0.170100,6.504600,0.116340
male,weight,3.22,0.169400,6.526500,0.116180
male,weight,3.25,0.168800,6.548300,0.116030
male,weight,3.29,0.168200,6.569900,0.115880
male,weight,3.32,0.167500,6.591400,0.115730
male,weight,3.35,0.166900,6.612600,0.115580
male,weight,3.38,0.166300,6.633800,0.115440
male,weight,3.42,0.165700,6.654700,0.115300
male,weight,3.45,0.165100,6.675500,0.115160
male,weight,3.48,0.164400,6.696200,0.115020
male,weight,3.52,0.163800,6.716600,0.114890
male,weight,3.55,0.163200,6.737000,0.114760
male,weight,3.58,0.162600,6.757200,0.114630
male,weight,3.61,0.162000,6.777200,0.114500
male,weight,3.65,0.161400,6.797100,0.114380
male,weight,3.68,0.160900,6.816800,0.114250
male,weight,3.71,0.160300,6.836500,0.114130
male,weight,3.75,0.159700,6.855900,0.114010
male,weight,3.78,0.159100,6.875300,0.113900
male,weight,3.81,0.158500,6.894500,0.113780
male,weight,3.84,0.158000,6.913500,0.113670
male,weight,3.88,0.157400,6.932500,0.113560
male,weight,3.91,0.156800,6.951300,0.113450
male,weight,3.94,0.156300,6.969900,0.113340
male,weight,3.98,0.155700,6.988500,0.113240
male,weight,4.01,0.155100,7.006900,0.113130
male,weight,4.04,0.154600,7.025200,0.113030
male,weight,4.07,0.154000,7.043400,0.112930
male,weight,4.11,0.153500,7.061500,0.112830
male,weight,4.14,0.152900,7.079400,0.112740
male,weight,4.17,0.152400,7.097200,0.112650
male,weight,4.21,0.151900,7.114900,0.112550
male,weight,4.24,0.151300,7.132500,0.112460
male,weight,4.27,0.150800,7.150000,0.112370
male,weight,4.30,0.150200,7.167400,0.112290
male,weight,4.34,0.149700,7.184600,0.112200
male,weight,4.37,0.149200,7.201800,0.112120
male,weight,4.40,0.148700,7.218800,0.112040
male,weight,4.44,0.148100,7.235700,0.111960
male,weight,4.47,0.147600,7.252500,0.111880
male,weight,4.50,0.147100,7.269200,0.111800
male,weight,4.53,0.146600,7.285800,0.111720
male,weight,4.57,0.146100,7.302300,0.111650
male,weight,4.60,0.145600,7.318700,0.111580
male,weight,4.63,0.145100,7.335000,0.111500
male,weight,4.67,0.144600,7.351200,0.111430
male,weight,4.70,0.144100,7.367300,0.111370
male,weight,4.73,0.143600,7.383300,0.111300
male,weight,4.76,0.143100,7.399200,0.111230
male,weight,4.80,0.142600,7.415000,0.111170
male,weight,4.83,0.142100,7.430700,0.111110
male,weight,4.86,0.141600,7.446300,0.111040
male,weight,4.90,0.141100,7.461800,0.110980
male,weight,4.93,0.140600,7.477200,0.110920
male,weight,4.96,0.140100,7.492500,0.110870
male,weight,4.99,0.139600,7.507700,0.110810
male,weight,5.03,0.139100,7.522800,0.110750
male,weight,5.06,0.138700,7.537900,0.110700
male,weight,5.09,0.138200,7.552800,0.110650
male,weight,5.13,0.137700,7.567700,0.110590
male,weight,5.16,0.137200,7.582400,0.110540
male,weight,5.19,0.136800,7.597100,0.110490
male,weight,5.22,0.136300,7.611700,0.110440
male,weight,5.26,0.135800,7.626200,0.110400
male,weight,5.29,0.135400,7.640600,0.110350
male,weight,5.32,0.134900,7.655000,0.110310
male,weight,5.36,0.134400,7.669200,0.110260
male,weight,5.39,0.134000,7.683400,0.110220
male,weight,5.42,0.133500,7.697500,0.110180
male,weight,5.45,0.133100,7.711500,0.110130
male,weight,5.49,0.132600,7.725500,0.110090
male,weight,5.52,0.132200,7.739400,0.110050
male,weight,5.55,0.131700,7.753200,0.110020
male,weight,5.59,0.131300,7.766900,0.109980
male,weight,5.62,0.130800,7.780500,0.109940
male,weight,5.65,0.130400,7.794100,0.109910
male,weight,5.68,0.129900,7.807600,0.109870
male,weight,5.72,0.129500,7.821000,0.109840
male,weight,5.75,0.129000,7.834400,0.109800
male,weight,5.78,0.128600,7.847700,0.109770
male,weight,5.82,0.128200,7.860900,0.109740
male,weight,5.85,0.127700,7.874100,0.109710
male,weight,5.88,0.127300,7.887100,0.109680
male,weight,5.91,0.126900,7.900200,0.109650
male,weight,5.95,0.126400,7.913100,0.109620
male,weight,5.98,0.126000,7.926000,0.109590
female,weight,0.00,0.380900,3.232200,0.141710
female,weight,0.03,0.325900,3.195700,0.145780
female,weight,0.07,0.310100,3.210400,0.146370
female,weight,0.10,0.298600,3.231500,0.146570
female,weight,0.13,0.289100,3.255800,0.146580
female,weight,0.16,0.281000,3.282100,0.146460
female,weight,0.20,0.273700,3.309900,0.146260
female,weight,0.23,0.267100,3.338800,0.146000
female,weight,0.26,0.260900,3.368700,0.145690
female,weight,0.30,0.255100,3.399500,0.145340
female,weight,0.33,0.249700,3.431400,0.144980
female,weight,0.36,0.244600,3.464300,0.144590
female,weight,0.39,0.239700,3.498300,0.144200
female,weight,0.43,0.234900,3.533300,0.143800
female,weight,0.46,0.230400,3.569300,0.143390
female,weight,0.49,0.226000,3.606300,0.142990
female,weight,0.53,0.221800,3.643800,0.142580
female,weight,0.56,0.217700,3.681800,0.142180
female,weight,0.59,0.213700,3.720100,0.141770
female,weight,0.62,0.209900,3.758400,0.141380
female,weight,0.66,0.206100,3.796800,0.140980
female,weight,0.69,0.202400,3.835200,0.140600
female,weight,0.72,0.198900,3.873500,0.140210
female,weight,0.76,0.195400,3.911600,0.139840
female,weight,0.79,0.191900,3.949500,0.139470
female,weight,0.82,0.188600,3.987200,0.139100
female,weight,0.85,0.185300,4.024700,0.138750
female,weight,0.89,0.182100,4.061800,0.138400
female,weight,0.92,0.178900,4.098700,0.138050
female,weight,0.95,0.175800,4.135300,0.137710
female,weight,0.99,0.172700,4.171600,0.137380
female,weight,1.02,0.169700,4.207500,0.137060
female,weight,1.05,0.166800,4.243100,0.136740
female,weight,1.08,0.163800,4.278300,0.136430
female,weight,1.12,0.161000,4.313100,0.136130
female,weight,1.15,0.158200,4.347600,0.135830
female,weight,1.18,0.155400,4.381800,0.135540
female,weight,1.22,0.152600,4.415500,0.135260
female,weight,1.25,0.149900,4.449000,0.134980
female,weight,1.28,0.147300,4.482000,0.134700
female,weight,1.31,0.144600,4.514800,0.134440
female,weight,1.35,0.142000,4.547200,0.134180
female,weight,1.38,0.139500,4.579300,0.133920
female,weight,1.41,0.136900,4.611000,0.133670
female,weight,1.45,0.134400,4.642500,0.133420
female,weight,1.48,0.132000,4.673600,0.133180
female,weight,1.51,0.129500,4.704400,0.132950
female,weight,1.54,0.127100,4.734900,0.132720
female,weight,1.58,0.124700,4.765100,0.132500
female,weight,1.61,0.122400,4.795000,0.132280
female,weight,1.64,0.120000,4.824500,0.132060
female,weight,1.68,0.117700,4.853800,0.131850
female,weight,1.71,0.115400,4.882800,0.131650
female,weight,1.74,0.113200,4.911500,0.131450
female,weight,1.77,0.110900,4.939900,0.131250
female,weight,1.81,0.108700,4.968000,0.131060
female,weight,1.84,0.106500,4.995900,0.130870
female,weight,1.87,0.104400,5.023500,0.130680
female,weight,1.91,0.102200,5.050900,0.130500
female,weight,1.94,0.100100,5.078000,0.130330
female,weight,1.97,0.098000,5.104900,0.130150
female,weight,2.00,0.095900,5.131500,0.129980
female,weight,2.04,0.093800,5.158000,0.129820
female,weight,2.07,0.091800,5.184200,0.129660
female,weight,2.10,0.089700,5.210200,0.129500
female,weight,2.14,0.087700,5.236000,0.129340
female,weight,2.17,0.085700,5.261600,0.129190
female,weight,2.20,0.083800,5.287000,0.129040
female,weight,2.23,0.081800,5.312100,0.128890
female,weight,2.27,0.079800,5.337000,0.128750
female,weight,2.30,0.077900,5.361800,0.128610
female,weight,2.33,0.076000,5.386300,0.128470
female,weight,2.37,0.074100,5.410700,0.128340
female,weight,2.40,0.072200,5.434800,0.128210
female,weight,2.43,0.070400,5.458700,0.128080
female,weight,2.46,0.068500,5.482500,0.127950
female,weight,2.50,0.066700,5.506100,0.127830
female,weight,2.53,0.064800,5.529500,0.127700
female,weight,2.56,0.063000,5.552700,0.127580
female,weight,2.60,0.061200,5.575700,0.127470
female,weight,2.63,0.059500,5.598600,0.127350
female,weight,2.66,0.057700,5.621300,0.127240
female,weight,2.69,0.055900,5.643800,0.127130
female,weight,2.73,0.054200,5.666200,0.127020
female,weight,2.76,0.052500,5.688300,0.126910
female,weight,2.79,0.050800,5.710400,0.126810
female,weight,2.83,0.049000,5.732200,0.126710
female,weight,2.86,0.047400,5.753900,0.126600
female,weight,2.89,0.045700,5.775500,0.126510
female,weight,2.92,0.044000,5.796900,0.126410
female,weight,2.96,0.042400,5.818100,0.126310
female,weight,2.99,0.040700,5.839300,0.126220
female,weight,3.02,0.039100,5.860200,0.126130
female,weight,3.06,0.037500,5.881000,0.126040
female,weight,3.09,0.035800,5.901700,0.125950
female,weight,3.12,0.034200,5.922300,0.125860
female,weight,3.15,0.032700,5.942700,0.125770
female,weight,3.19,0.031100,5.962900,0.125690
female,weight,3.22,0.029500,5.983100,0.125610
female,weight,3.25,0.027900,6.003100,0.125530
female,weight,3.29,0.026400,6.022900,0.125450
female,weight,3.32,0.024900,6.042600,0.125370
female,weight,3.35,0.023300,6.062200,0.125290
female,weight,3.38,0.021800,6.081700,0.125220
female,weight,3.42,0.020300,6.101000,0.125140
female,weight,3.45,0.018800,6.120200,0.125070
female,weight,3.48,0.017300,6.139300,0.125000
female,weight,3.52,0.015800,6.158200,0.124930
female,weight,3.55,0.014400,6.177100,0.124860
female,weight,3.58,0.012900,6.195800,0.124790
female,weight,3.61,0.011400,6.214300,0.124720
female,weight,3.65,0.010000,6.232800,0.124660
female,weight,3.68,0.008600,6.251100,0.124590
female,weight,3.71,0.007100,6.269300,0.124530
female,weight,3.75,0.005700,6.287400,0.124470
female,weight,3.78,0.004300,6.305400,0.124410
female,weight,3.81,0.002900,6.323200,0.124350
female,weight,3.84,0.001500,6.341000,0.124290
female,weight,3.88,0.000100,6.358600,0.124230
female,weight,3.91,-0.001300,6.376100,0.124170
female,weight,3.94,-0.002600,6.393500,0.124120
female,weight,3.98,-0.004000,6.410800,0.124060
female,weight,4.01,-0.005300,6.428000,0.124010
female,weight,4.04,-0.006700,6.445000,0.123950
female,weight,4.07,-0.008000,6.462000,0.123900
female,weight,4.11,-0.009400,6.478800,0.123850
female,weight,4.14,-0.010700,6.495600,0.123800
female,weight,4.17,-0.012000,6.512200,0.123750
female,weight,4.21,-0.013300,6.528800,0.123700
female,weight,4.24,-0.014600,6.545200,0.123650
female,weight,4.27,-0.015900,6.561500,0.123600
female,weight,4.30,-0.017200,6.577700,0.123550
female,weight,4.34,-0.018500,6.593900,0.123510
female,weight,4.37,-0.019800,6.609900,0.123460
female,weight,4.40,-0.021000,6.625800,0.123420
female,weight,4.44,-0.022300,6.641600,0.123370
female,weight,4.47,-0.023500,6.657300,0.123330
female,weight,4.50,-0.024800,6.672900,0.123290
female,weight,4.53,-0.026000,6.688400,0.123250
female,weight,4.57,-0.027300,6.703900,0.123210
female,weight,4.60,-0.028500,6.719200,0.123170
female,weight,4.63,-0.029700,6.734400,0.123130
female,weight,4.67,-0.030900,6.749500,0.123090
female,weight,4.70,-0.032100,6.764600,0.123050
female,weight,4.73,-0.033300,6.779500,0.123010
female,weight,4.76,-0.034500,6.794400,0.122980
female,weight,4.80,-0.035700,6.809100,0.122940
female,weight,4.83,-0.036900,6.823800,0.122910
female,weight,4.86,-0.038100,6.838400,0.122870
female,weight,4.90,-0.039300,6.852900,0.122840
female,weight,4.93,-0.040400,6.867300,0.122810
female,weight,4.96,-0.041600,6.881600,0.122770
female,weight,4.99,-0.042800,6.895900,0.122740
female,weight,5.03,-0.043900,6.910000,0.122710
female,weight,5.06,-0.045000,6.924100,0.122680
female,weight,5.09,-0.046200,6.938100,0.122650
female,weight,5.13,-0.047300,6.952000,0.122620
female,weight,5.16,-0.048400,6.965900,0.122590
female,weight,5.19,-0.049600,6.979700,0.122560
female,weight,5.22,-0.050700,6.993400,0.122540
female,weight,5.26,-0.051800,7.007000,0.122510
female,weight,5.29,-0.052900,7.020500,0.122480
female,weight,5.32,-0.054000,7.034000,0.122460
female,weight,5.36,-0.055100,7.047400,0.122430
female,weight,5.39,-0.056200,7.060700,0.122410
female,weight,5.42,-0.057300,7.074000,0.122380
female,weight,5.45,-0.058300,7.087200,0.122360
female,weight,5.49,-0.059400,7.100300,0.122340
female,weight,5.52,-0.060500,7.113300,0.122310
female,weight,5.55,-0.061500,7.126300,0.122290
female,weight,5.59,-0.062600,7.139300,0.122270
female,weight,5.62,-0.063700,7.152100,0.122250
female,weight,5.65,-0.064700,7.164900,0.122230
female,weight,5.68,-0.065800,7.177600,0.122210
female,weight,5.72,-0.066800,7.190300,0.122190
female,weight,5.75,-0.067800,7.202900,0.122170
female,weight,5.78,-0.068900,7.215400,0.122150
female,weight,5.82,-0.069900,7.227900,0.122140
female,weight,5.85,-0.070900,7.240300,0.122120
female,weight,5.88,-0.071900,7.252700,0.122100
female,weight,5.91,-0.072900,7.265000,0.122080
female,weight,5.95,-0.073900,7.277200,0.122070
female,weight,5.98,-0.074900,7.289400,0.122050
male,height,0.00,1.000000,49.884200,0.037950
male,height,0.03,1.000000,50.060100,0.037850
male,height,0.07,1.000000,50.235900,0.037750
male,height,0.10,1.000000,50.411800,0.037640
male,height,0.13,1.000000,50.587600,0.037540
male,height,0.16,1.000000,50.763500,0.037440
male,height,0.20,1.000000,50.939300,0.037340
male,height,0.23,1.000000,51.115200,0.037230
male,height,0.26,1.000000,51.291000,0.037130
male,height,0.30,1.000000,51.466900,0.037030
male,height,0.33,1.000000,51.642700,0.036930
male,height,0.36,1.000000,51.818600,0.036820
male,height,0.39,1.000000,51.994400,0.036720
male,height,0.43,1.000000,52.170200,0.036620
male,height,0.46,1.000000,52.346100,0.036520
male,height,0.49,1.000000,52.497800,0.036450
male,height,0.53,1.000000,52.648800,0.036390
male,height,0.56,1.000000,52.799000,0.036330
male,height,0.59,1.000000,52.948300,0.036270
male,height,0.62,1.000000,53.096700,0.036210
male,height,0.66,1.000000,53.244100,0.036150
male,height,0.69,1.000000,53.390500,0.036090
male,height,0.72,1.000000,53.536000,0.036030
male,height,0.76,1.000000,53.680500,0.035970
male,height,0.79,1.000000,53.823900,0.035920
male,height,0.82,1.000000,53.966400,0.035860
male,height,0.85,1.000000,54.107900,0.035810
male,height,0.89,1.000000,54.248500,0.035750
male,height,0.92,1.000000,54.388100,0.035700
male,height,0.95,1.000000,54.526800,0.035650
male,height,0.99,1.000000,54.664500,0.035590
male,height,1.02,1.000000,54.801200,0.035540
male,height,1.05,1.000000,54.936800,0.035490
male,height,1.08,1.000000,55.071400,0.035440
male,height,1.12,1.000000,55.204900,0.035390
male,height,1.15,1.000000,55.337400,0.035340
male,height,1.18,1.000000,55.468800,0.035290
male,height,1.22,1.000000,55.599200,0.035240
male,height,1.25,1.000000,55.728500,0.035200
male,height,1.28,1.000000,55.856800,0.035150
male,height,1.31,1.000000,55.984100,0.035100
male,height,1.35,1.000000,56.110400,0.035060
male,height,1.38,1.000000,56.235700,0.035010
male,height,1.41,1.000000,56.359900,0.034960
male,height,1.45,1.000000,56.483300,0.034920
male,height,1.48,1.000000,56.605600,0.034880
male,height,1.51,1.000000,56.726900,0.034830
male,height,1.54,1.000000,56.847200,0.034790
male,height,1.58,1.000000,56.966600,0.034750
male,height,1.61,1.000000,57.085100,0.034700
male,height,1.64,1.000000,57.202600,0.034660
male,height,1.68,1.000000,57.319200,0.034620
male,height,1.71,1.000000,57.434900,0.034580
male,height,1.74,1.000000,57.549700,0.034540
male,height,1.77,1.000000,57.663700,0.034500
male,height,1.81,1.000000,57.776700,0.034460
male,height,1.84,1.000000,57.888900,0.034420
male,height,1.87,1.000000,58.000300,0.034380
male,height,1.91,1.000000,58.110900,0.034340
male,height,1.94,1.000000,58.220700,0.034310
male,height,1.97,1.000000,58.329900,0.034270
male,height,2.00,1.000000,58.438400,0.034230
male,height,2.04,1.000000,58.546300,0.034200
male,height,2.07,1.000000,58.653600,0.034160
male,height,2.10,1.000000,58.760300,0.034120
male,height,2.14,1.000000,58.866400,0.034090
male,height,2.17,1.000000,58.971800,0.034050
male,height,2.20,1.000000,59.076600,0.034020
male,height,2.23,1.000000,59.180800,0.033980
male,height,2.27,1.000000,59.284300,0.033950
male,height,2.30,1.000000,59.387200,0.033920
male,height,2.33,1.000000,59.489400,0.033880
male,height,2.37,1.000000,59.591000,0.033850
male,height,2.40,1.000000,59.692000,0.033820
male,height,2.43,1.000000,59.792300,0.033790
male,height,2.46,1.000000,59.892000,0.033750
male,height,2.50,1.000000,59.991000,0.033720
male,height,2.53,1.000000,60.089400,0.033690
male,height,2.56,1.000000,60.187200,0.033660
male,height,2.60,1.000000,60.284300,0.033630
male,height,2.63,1.000000,60.380800,0.033600
male,height,2.66,1.000000,60.476700,0.033570
male,height,2.69,1.000000,60.571900,0.033540
male,height,2.73,1.000000,60.666500,0.033510
male,height,2.76,1.000000,60.760500,0.033480
male,height,2.79,1.000000,60.853900,0.033450
male,height,2.83,1.000000,60.946600,0.033420
male,height,2.86,1.000000,61.038800,0.033400
male,height,2.89,1.000000,61.130300,0.033370
male,height,2.92,1.000000,61.221200,0.033340
male,height,2.96,1.000000,61.311500,0.033310
male,height,2.99,1.000000,61.401300,0.033290
male,height,3.02,1.000000,61.490400,0.033260
male,height,3.06,1.000000,61.579000,0.033230
male,height,3.09,1.000000,61.667000,0.033210
male,height,3.12,1.000000,61.754300,0.033180
male,height,3.15,1.000000,61.841100,0.033160
male,height,3.19,1.000000,61.927400,0.033130
male,height,3.22,1.000000,62.013000,0.033110
male,height,3.25,1.000000,62.098100,0.033080
male,height,3.29,1.000000,62.182600,0.033060
male,height,3.32,1.000000,62.266500,0.033030
male,height,3.35,1.000000,62.349900,0.033010
male,height,3.38,1.000000,62.432700,0.032980
male,height,3.42,1.000000,62.514900,0.032960
male,height,3.45,1.000000,62.596600,0.032940
male,height,3.48,1.000000,62.677800,0.032910
male,height,3.52,1.000000,62.758400,0.032890
male,height,3.55,1.000000,62.838400,0.032870
male,height,3.58,1.000000,62.918000,0.032840
male,height,3.61,1.000000,62.996900,0.032820
male,height,3.65,1.000000,63.075400,0.032800
male,height,3.68,1.000000,63.153300,0.032780
male,height,3.71,1.000000,63.230700,0.032760
male,height,3.75,1.000000,63.307600,0.032730
male,height,3.78,1.000000,63.383900,0.032710
male,height,3.81,1.000000,63.459800,0.032690
male,height,3.84,1.000000,63.535100,0.032670
male,height,3.88,1.000000,63.609900,0.032650
male,height,3.91,1.000000,63.684200,0.032630
male,height,3.94,1.000000,63.758000,0.032610
male,height,3.98,1.000000,63.831300,0.032590
male,height,4.01,1.000000,63.904100,0.032570
male,height,4.04,1.000000,63.976500,0.032550
male,height,4.07,1.000000,64.048300,0.032530
male,height,4.11,1.000000,64.119700,0.032510
male,height,4.14,1.000000,64.190600,0.032490
male,height,4.17,1.000000,64.261000,0.032470
male,height,4.21,1.000000,64.331000,0.032450
male,height,4.24,1.000000,64.400600,0.032430
male,height,4.27,1.000000,64.469700,0.032410
male,height,4.30,1.000000,64.538300,0.032390
male,height,4.34,1.000000,64.606600,0.032380
male,height,4.37,1.000000,64.674400,0.032360
male,height,4.40,1.000000,64.741800,0.032340
male,height,4.44,1.000000,64.808800,0.032320
male,height,4.47,1.000000,64.875500,0.032300
male,height,4.50,1.000000,64.941700,0.032290
male,height,4.53,1.000000,65.007500,0.032270
male,height,4.57,1.000000,65.073000,0.032250
male,height,4.60,1.000000,65.138000,0.032230
male,height,4.63,1.000000,65.202700,0.032220
male,height,4.67,1.000000,65.267100,0.032200
male,height,4.70,1.000000,65.331000,0.032180
male,height,4.73,1.000000,65.394600,0.032170
male,height,4.76,1.000000,65.457900,0.032150
male,height,4.80,1.000000,65.520800,0.032140
male,height,4.83,1.000000,65.583400,0.032120
male,height,4.86,1.000000,65.645600,0.032100
male,height,4.90,1.000000,65.707500,0.032090
male,height,4.93,1.000000,65.769000,0.032070
male,height,4.96,1.000000,65.830300,0.032060
male,height,4.99,1.000000,65.891200,0.032040
male,height,5.03,1.000000,65.951800,0.032030
male,height,5.06,1.000000,66.012100,0.032010
male,height,5.09,1.000000,66.072100,0.032000
male,height,5.13,1.000000,66.131700,0.031980
male,height,5.16,1.000000,66.191100,0.031970
male,height,5.19,1.000000,66.250200,0.031960
male,height,5.22,1.000000,66.308900,0.031940
male,height,5.26,1.000000,66.367400,0.031930
male,height,5.29,1.000000,66.425600,0.031910
male,height,5.32,1.000000,66.483500,0.031900
male,height,5.36,1.000000,66.541200,0.031890
male,height,5.39,1.000000,66.598500,0.031870
male,height,5.42,1.000000,66.655600,0.031860
male,height,5.45,1.000000,66.712500,0.031850
male,height,5.49,1.000000,66.769100,0.031830
male,height,5.52,1.000000,66.825400,0.031820
male,height,5.55,1.000000,66.881500,0.031810
male,height,5.59,1.000000,66.937300,0.031800
male,height,5.62,1.000000,66.993000,0.031790
male,height,5.65,1.000000,67.048300,0.031770
male,height,5.68,1.000000,67.103500,0.031760
male,height,5.72,1.000000,67.158400,0.031750
male,height,5.75,1.000000,67.213200,0.031740
male,height,5.78,1.000000,67.267700,0.031730
male,height,5.82,1.000000,67.321900,0.031710
male,height,5.85,1.000000,67.376000,0.031700
male,height,5.88,1.000000,67.429900,0.031690
male,height,5.91,1.000000,67.483600,0.031680
male,height,5.95,1.000000,67.537100,0.031670
male,height,5.98,1.000000,67.590400,0.031660
female,height,0.00,1.000000,49.147700,0.037900
female,height,0.03,1.000000,49.316600,0.037830
female,height,0.07,1.000000,49.485400,0.037760
female,height,0.10,1.000000,49.654300,0.037700
female,height,0.13,1.000000,49.823200,0.037630
female,height,0.16,1.000000,49.992100,0.037560
female,height,0.20,1.000000,50.160900,0.037490
female,height,0.23,1.000000,50.329800,0.037420
female,height,0.26,1.000000,50.498700,0.037350
female,height,0.30,1.000000,50.667600,0.037280
female,height,0.33,1.000000,50.836500,0.037220
female,height,0.36,1.000000,51.005300,0.037150
female,height,0.39,1.000000,51.174200,0.037080
female,height,0.43,1.000000,51.343100,0.037010
female,height,0.46,1.000000,51.512000,0.036940
female,height,0.49,1.000000,51.651000,0.036900
female,height,0.53,1.000000,51.789500,0.036870
female,height,0.56,1.000000,51.927200,0.036830
female,height,0.59,1.000000,52.064100,0.036800
female,height,0.62,1.000000,52.200200,0.036760
female,height,0.66,1.000000,52.335300,0.036730
female,height,0.69,1.000000,52.469500,0.036690
female,height,0.72,1.000000,52.602700,0.036660
female,height,0.76,1.000000,52.734900,0.036630
female,height,0.79,1.000000,52.866100,0.036600
female,height,0.82,1.000000,52.996300,0.036560
female,height,0.85,1.000000,53.125500,0.036530
female,height,0.89,1.000000,53.253700,0.036500
female,height,0.92,1.000000,53.380900,0.036470
female,height,0.95,1.000000,53.507200,0.036440
female,height,0.99,1.000000,53.632600,0.036410
female,height,1.02,1.000000,53.757100,0.036380
female,height,1.05,1.000000,53.880600,0.036360
female,height,1.08,1.000000,54.003100,0.036330
female,height,1.12,1.000000,54.124700,0.036300
female,height,1.15,1.000000,54.245400,0.036270
female,height,1.18,1.000000,54.365100,0.036250
female,height,1.22,1.000000,54.483900,0.036220
female,height,1.25,1.000000,54.601800,0.036190
